product_id,product_code,product_name_zh,product_name_en,category,size_ml,size_label,price,currency,format,description_zh,source_page,source_image_filename,source_original_image,canonical_image_filename,image_path,image_exists,image_verified,duplicate_image_group,duplicate_status,v21_page,v21_detail_anchor,active,source_conflict,verification_status,verification_notes,last_verified
1,NO.C1,皇室派對,,C,30,30ml,2450,TWD,,,,yutacar-jkmnm3cincw-unsplash.jpg,,,,,,,,30ml,#NO.C1,YES,,source-mapped,Original image filename recorded; full asset verification pending,
2,NO.C2,紐約那天,,C,30,30ml,2450,TWD,,,,1244221102.jpg,,,,,,,,30ml,#NO.C2,YES,,source-mapped,Original image filename recorded; full asset verification pending,
3,NO.C3,偷心戀人,,C,30,30ml,2450,TWD,,,,2087698222.jpg,,,,,,,,30ml,#NO.C3,YES,,source-mapped,Original image filename recorded; full asset verification pending,
4,NO.C4,悸動過後,,C,30,30ml,2450,TWD,,,,mohammad-alizade-dunskupql7g-unsplash.jpg,,,,,,,,30ml,#NO.C4,YES,,source-mapped,Original image filename recorded; full asset verification pending,
5,NO.C5,舞動誘惑,,C,30,30ml,2450,TWD,,,,chermiti-mohamed-gjvokrp-6yk-unsplash.jpg,,,,,,,,30ml,#NO.C5,YES,,source-mapped,Original image filename recorded; full asset verification pending,
6,NO.C6,讀你,,C,30,30ml,2450,TWD,,,,adult-black-and-white-concentration-1061130.jpg,,,,,,,,30ml,#NO.C6,YES,,source-mapped,Original image filename recorded; full asset verification pending,
7,NO.C7,夏季飄香,,C,30,30ml,2450,TWD,,,,city-buildings-near-body-of-water-1449455.jpg,,,,,,,,30ml,#NO.C7,YES,,source-mapped,Original image filename recorded; full asset verification pending,
8,NO.C8,2008,,C,30,30ml,2450,TWD,,,,s-207052814.jpg,,,,,,,,30ml,#NO.C8,YES,,source-mapped,Original image filename recorded; full asset verification pending,
9,NO.C9,光譜大地,,C,30,30ml,2450,TWD,,,,architecture-buildings-city-cityscape-366283.jpg,,,,,,,,30ml,#NO.C9,YES,,source-mapped,Original image filename recorded; full asset verification pending,
10,NO.L1,依偎,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L1,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
11,NO.L2,重生續愛,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L2,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
12,NO.L3,阿拉斯加戀人,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L3,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
13,NO.L4,愛神,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L4,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
14,NO.L5,悅愛,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L5,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
15,NO.L6,激情夜畔,,L,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.L6,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
16,NO.P1,富貴牡丹,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P1,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
17,NO.P2,茉莉花季,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P2,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
18,NO.P3,白玫瑰,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P3,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
19,NO.P4,森林大地,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P4,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
20,NO.P5,沉香油,,P,1,1ml,5350,TWD,,,,,,,,,,,1ml,#NO.P5,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
21,NO.P6,祝福有餘,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P6,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
22,NO.P7,台灣風情,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P7,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
23,NO.P8,雪茄菸草,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P8,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
24,NO.P9,絕妙玫瑰,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P9,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
25,NO.P10,韶光,,P,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.P10,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
26,NO.P11,戀玫瑰,,P,30,30ml,3200,TWD,,,,,,,,,,,30ml,#NO.P11,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
27,NO.P12,關聖帝君沉香香水,,P,50,50ml,3990,TWD,,,,,,,,,,,50ml,#NO.P12,YES,source conflict,needs-resolution,Original source has conflicting 30ml/50ml representations; do not silently resolve,
28,NO.P13,王母娘娘聖露水,,P,50,50ml,3900,TWD,,,s-51593265.jpg,s-51593265_orig.jpg,s-51593265.jpg,assets/uploads/1/2/8/6/128601763/s-51593265.jpg,YES,YES,,,50ml,#NO.P13,YES,,verified,Original source maps displayed image to s-51593265.jpg; original/lightbox filename is s-51593265_orig.jpg,
29,NO.S1,勇敢,,S,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.S1,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
30,NO.S2,雍容,,S,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.S2,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
31,NO.S3,彩虹,,S,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.S3,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
32,NO.S4,時尚大師,,S,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.S4,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
33,NO.S5,暖心,,S,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.S5,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
34,NO.S6,沉迷,,S,30,30ml,2700,TWD,,,,,,,,,,,30ml,#NO.S6,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
35,NO.S7,檀魂,,S,30,30ml,3000,TWD,,,,,,,,,,,30ml,#NO.S7,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
36,NO.S8,旅人,,S,30,30ml,2600,TWD,,,,,,,,,,,30ml,#NO.S8,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
37,NO.N1,星月呢喃,,N,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.N1,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
38,NO.N2,蔚海藍天,,N,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.N2,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
39,NO.N3,霎那春秋,,N,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.N3,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
40,NO.N4,曙光九號,,N,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.N4,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
41,NO.N5,島上天空,,N,30,30ml,2450,TWD,,,,,,,,,,,30ml,#NO.N5,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
42,NO.N6,聖露水,,N,30,30ml,3000,TWD,,,,,,,,,,,30ml,#NO.N6,YES,,source-mapped,Filename recorded in source inventory; exact value pending direct source extraction,
